Quantity,Reference Designator,Model
2,"R1A, R1C","1.24k ohm, 0603, 1%"
1,R2A,"162 ohm, 0603, 1%"
6,"R3A, R3B, R3C, R3D, R5M, JP2","0 ohm, 0603"
1,R5A,"6.98k ohm, 0603, 1%"
2,"R1B, R1D","1.21k ohm, 0603, 1%"
1,R2B,"158 ohm, 0603, 1%"
1,R5B,"6.81k ohm, 0603, 1%"
1,R2C,"511 ohm, 0603, 1%"
1,R5C,"2.74k ohm, 0603, 1%"
1,R2D,"499 ohm, 0603, 1%"
1,R5D,"2.61k ohm, 0603, 1%"
2,"C1A, C2A","2.2nF, 0603, C0G, 1%"
8,"C9A, C0A, C9B, C0B, C9C, C0C, C9D, C0D","100nF, 0603, X7R, 20%"
2,"C1B, C2B","4.7nF, 0603, C0G, 1%"
2,"C1C, C2C","2.7nF, 0603, C0G, 1%"
2,"C1D, C2D","3.9nF, 0603, C0G, 1%"
2,"C101M, C100M","10µF, 6032, tantalum, 20%"
4,"U2A, U2B, U2C, U2D","LT6236, SOT-23"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
4,"J1A, J1B, J1C, J1D","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
