Frequency,Nominal,Min,Max
14200,1408.6783252838495,1394.3218139230798,1423.0494968526284
14500,1408.974450283374,1394.6025974343247,1423.3616741152455
14800,1409.2777234110304,1394.8901222852737,1423.6814288281403
15000,1409.4839079327373,1395.0855790831818,1423.8988427320573
15500,1410.0135185396314,1395.5875563241384,1424.4573868145349
16000,1410.5635919050555,1396.1088102731371,1425.0376475343237
16500,1411.1344516532993,1396.6496344644495,1425.6399814416945
17000,1411.726435618262,1397.2103351872831,1426.2647609083676
17500,1412.3398962466174,1397.7912318369968,1426.9123745897168
18000,1412.9752010181166,1398.3926572811974,1427.5832279066778
18500,1413.632732883279,1399.0149582409454,1428.2777435476182
19000,1414.3128907186967,1399.6584956872885,1428.9963619903956
19500,1415.0160898001275,1400.323645253303,1429.7395420447608
20000,1415.7427622934897,1401.0107976617765,1430.5077614151805
20500,1416.493357763807,1401.7203591686193,1431.301517284057
21000,1417.2683437020619,1402.45275202203,1432.1213269152179
21500,1418.0682060698243,1403.2084149373634,1432.9677282773976
22000,1418.8934498613858,1403.9878035875624,1433.8412806872802
22500,1419.7445996830002,1404.7913911089065,1434.7425654714648
23000,1420.6222003486655,1405.6196686217193,1435.6721866465093
23500,1421.5268174916584,1406.473145765506,1436.630771615903
24000,1422.4590381908388,1407.3523512478528,1437.618971882541
24500,1423.4194716104278,1408.2578334061893,1438.6374637748713
25000,1424.4087496516831,1409.190160781314,1439.6869491844723
25500,1425.4275276144979,1410.149922701279,1440.7681563122974
26000,1426.4764848665284,1411.1377298739462,1441.8818404202468
27000,1428.6677790914557,1413.200033306953,1444.2098004425216
27500,1429.811601204054,1414.275863292084,1445.4257289377522
28000,1430.9885742212414,1415.382407185926,1446.6774410388787
28500,1432.1995079122132,1416.5203916169446,1447.9658384418753
29000,1433.4452400785415,1417.6905681815692,1449.2918542355224
29500,1434.7266371551327,1418.8937140107316,1450.6564535224486
30000,1436.0445947730072,1420.130632312229,1452.0606339820804
30500,1437.4000382727997,1421.402152880969,1453.5054263600705
31000,1438.7939231560192,1422.7091325677732,1454.9918948661973
31500,1440.227235458956,1424.0524556959197,1456.5211374596508
32000,1441.7009920316266,1425.4330344128143,1458.0942859971485
33000,1444.774060296496,1428.3097478596292,1461.376997513277
34000,1448.0218815301353,1431.3471343394683,1464.8497562486043
35000,1451.4536956865345,1434.5535059878475,1468.522805858581
36000,1455.0792053757257,1437.9376141452385,1472.4068650441463
37000,1458.9085306696343,1441.5086227927998,1476.5130552792507
39000,1467.2207062349837,1449.2497481857338,1485.4375846826447
40000,1471.724993240312,1453.4396777169372,1490.2788414651325
41000,1476.4755533499779,1457.8558524421665,1495.3874552514985
42000,1481.4824093535076,1462.508046914985,1500.7733275582514
43200,1487.8415162012216,1468.415136418532,1507.613731679223
44500,1495.1755713412863,1475.2289436659305,1515.4979701020052
45800,1502.9796012438878,1482.4859073133703,1523.8737917265514
47500,1513.8817478447604,1492.6490724575463,1535.5298265411068
48800,1522.7115766953698,1500.9188846708626,1544.9057706046337
50000,1531.1759955225593,1508.899229278621,1553.8077075585559
51500,1542.0233002468274,1519.246697879204,1565.0221403526175
53000,1552.8578068869306,1529.8099786634275,1575.8608171085534
55000,1566.305176262717,1543.5866037030846,1588.266611082646
56500,1574.4278761536268,1552.8724166155955,1594.265748827171
58000,1579.2354596812504,1560.1367560794838,1595.1248480879972
60000,1576.6410841315271,1560.9025145737921,1588.8024110170945
61500,1564.1046802360775,1544.1174491855534,1575.7083517486158
63000,1538.7855658452181,1512.7981322583869,1549.9149237212016
64500,1498.0106374775619,1464.4244160045207,1518.52217991246
66000,1441.3040366628877,1394.1565496151077,1476.8274451408051
67500,1371.7751480071647,1316.5368592279906,1420.134620790878
68800,1306.298645561442,1250.3011734754223,1361.345550814564
70000,1246.6006421508919,1194.995243828598,1302.8518681322385
71500,1179.2585756409828,1138.1391105260284,1230.3843442903685
73200,1118.6832610269194,1085.2466520559142,1157.701761784531
75000,1074.9952677403305,1049.415685220722,1098.6031205872537
76500,1052.948852098404,1032.9269950678101,1066.078215387445
78000,1041.097730910525,1025.4042426706164,1053.9385975233195
80000,1036.4114567148224,1023.9989001309903,1048.9465754814128
82000,1039.6307283652754,1025.4017299733953,1056.0525563194997
84000,1047.1265152160852,1030.2483316068294,1065.6316989658812
86000,1056.6553667312517,1037.9470183852459,1076.1430694940057
88000,1066.9099061460572,1047.3497014535753,1086.733085427156
90000,1077.1629654633543,1057.3293308288844,1096.9536328072788
92000,1087.031340601038,1067.255515624643,1106.5888720663258
94000,1096.330431291357,1076.794201550101,1115.5531273983113
96000,1104.987936682418,1085.7839294388873,1123.8318580111013
98000,1112.993494757315,1094.1617735331586,1131.4478892976745
100000,1120.3695748324435,1101.919701100457,1138.4422534338148
102000,1127.1547869306128,1109.0790842304757,1144.8634402161708
104000,1133.3944161146921,1115.6759264018388,1150.7614836485573
106000,1139.1351563839876,1121.7523904815928,1156.1848256916312
108000,1144.4222827894719,1127.3520291270775,1161.178768719329
110000,1149.2982338560892,1132.5171881980548,1165.7848282182783
112000,1153.8020024414245,1137.2876811096069,1170.0405858843078
115000,1159.936271579572,1143.7827862353538,1175.8402952845347
118000,1165.416835145914,1149.581708390762,1181.0262628787189
120000,1168.7519013632416,1153.1080182035405,1184.1845004723887
122000,1171.8591299083396,1156.3914247688465,1187.1288670027327
125000,1176.136888468362,1160.9081720727206,1191.1856852812257
128000,1180.0075961553055,1164.9911873106091,1194.860037079277
130000,1182.3874063848473,1167.499512022415,1197.120923823386
132000,1184.622242004206,1169.8535510830181,1199.2453939677089
135000,1187.7281890262063,1173.1226668564034,1202.2001592420695
138000,1190.5693021694838,1176.1103734399012,1204.9053187258319
140000,1192.3312706393544,1177.9619260860704,1206.5841357339546
142000,1193.9968253032193,1179.7112003869174,1208.1719298310381
145000,1196.3297634181436,1182.1597920209758,1210.3973557220138
148000,1198.4829588917019,1184.4180188101086,1212.4528142622719
150000,1199.8278232950126,1185.8276324736664,1213.737375574436
155000,1202.9078506755434,1189.0534222466788,1216.681496836291
160000,1205.6357231096497,1191.9073831321234,1219.291621696139
165000,1208.0646315253714,1194.446122016574,1221.6178122524739
170000,1210.2379214234436,1196.7156949525124,1223.700928245155
175000,1212.191219522011,1198.7538987588696,1225.5746035060235
