Frequency,Nominal,Min,Max
14200,-0.4561370799134055,-0.4668481523695779,-0.4456282975198035
14500,-0.46739935481783673,-0.4784451562828342,-0.4565662168522848
14800,-0.4787722626890978,-0.49016056367166244,-0.46760747235677225
15000,-0.48641726537573376,-0.4980383497072136,-0.47502719639157054
15500,-0.5057576621703491,-0.5179768839714436,-0.49378922002648323
16000,-0.5254362300073635,-0.5382777760230887,-0.5128667435071108
16500,-0.5454692255199938,-0.5589586847652154,-0.5322747316737673
17000,-0.5658735112946455,-0.5800379500756718,-0.5520286882931549
17500,-0.5866665919174181,-0.6015346340900994,-0.5721446875232521
18000,-0.6078666520804514,-0.623468564916008,-0.5926394071222909
18500,-0.6294925968973749,-0.6458603829579832,-0.613530163525481
19000,-0.6515640945882453,-0.6687315900478664,-0.6348349489221048
19500,-0.6741016217064415,-0.6921046015887531,-0.6565724704753313
20000,-0.6971265110930835,-0.7160028019379626,-0.6787621918376128
20500,-0.7206610027587792,-0.7404506032718546,-0.7014243771259461
21000,-0.7447282979079187,-0.7654735081946357,-0.7245801375336134
21500,-0.7693526163375333,-0.7910981763742919,-0.7482514807684372
22000,-0.7945592574609127,-0.8173524955115778,-0.7724613635220854
22500,-0.8203746652259867,-0.8442656569728455,-0.7972337471907062
23000,-0.846826497219939,-0.8718682364445225,-0.8225936570842636
23500,-0.8739436982749198,-0.9001922799964943,-0.8485672453804552
24000,-0.9017565789150811,-0.9292713959737015,-0.8751818580992021
24500,-0.930296899012803,-0.9591408531701858,-0.9024661063955105
25000,-0.959597957051983,-0.9898376857778743,-0.9304499424921984
25500,-0.989694685428935,-1.0214008056438382,-0.9591647405996749
26000,-1.0206237522569563,-1.053871122414929,-0.9886433831978858
27000,-1.0851349127371352,-1.121707755417171,-1.0500318316371704
27500,-1.1188000388854713,-1.1571670846092519,-1.082015803735506
28000,-1.1534638262984662,-1.1937199429598182,-1.1149121699031574
28500,-1.1891734141612915,-1.2314193544546352,-1.1487628661776592
29000,-1.2259784562032492,-1.270321266594418,-1.183611992337438
29500,-1.2639312847914983,-1.310484746704268,-1.2195059491270912
30000,-1.303087086974051,-1.3519721929582775,-1.2564935851869277
30500,-1.3435040934362923,-1.3948495613370988,-1.2946263544498893
31000,-1.3852437814172291,-1.439186609841969,-1.333958484832532
31500,-1.4283710927206488,-1.4850571614033887,-1.3745471591155594
32000,-1.4729546680527599,-1.532539387047006,-1.4164527089839674
33000,-1.5667851992516044,-1.632675139677682,-1.5044727715900088
34000,-1.6673685451907716,-1.7403184035022483,-1.5985726114070953
35000,-1.7754153177495962,-1.8562854693996325,-1.6993715866138337
36000,-1.8917248521724943,-1.9814981672016492,-1.8075637139701244
37000,-2.017198313092625,-2.1169999387432146,-1.9239283611724467
39000,-2.2998447599979817,-2.4237682165214554,-2.184795750720353
40000,-2.4594792746307492,-2.5979147061134533,-2.3314056965576313
41000,-2.6332454286059357,-2.788165589567401,-2.490438581062723
42000,-2.8228385340601583,-2.9965246754501234,-2.663331060912589
43200,-3.0739853826194916,-3.2737148266707243,-2.891411795373856
44500,-3.3794550015535343,-3.6125615842108627,-3.167481602802541
45800,-3.7253658337199576,-3.998344019679995,-3.478470448516523
47500,-4.250502344733484,-4.587788491834205,-3.947639544537858
48800,-4.718628851842322,-5.116613646493928,-4.363241764516698
50000,-5.211763204636512,-5.676631958304459,-4.798732371911156
51500,-5.925713905181979,-6.491813439160962,-5.425697464691406
53000,-6.768845934605194,-7.4595069669625,-6.161859343047419
55000,-8.138845533323451,-9.038185046223544,-7.351586353839638
56500,-9.387713396365367,-10.477495147430634,-8.433067405966764
58000,-10.85672879807586,-12.16140443261455,-9.706845250780344
60000,-13.18574018775527,-14.784502032986795,-11.745098935764151
61500,-15.194860651774455,-16.96883377107491,-13.541483766657548
63000,-17.356285308632252,-19.192297081805926,-15.543696973832786
64500,-19.523366567575277,-21.223169844323657,-17.674818570374764
66000,-21.464283781654252,-22.762317552827657,-19.78421310725643
67500,-22.892771661096393,-23.52434140316286,-21.643755710240832
68800,-23.512199667322818,-23.796141513997856,-22.842883212737433
70000,-23.482317912242095,-23.798527204801648,-22.7217636125944
71500,-22.6444166910183,-23.459168932951243,-21.161899773378074
73200,-20.834149441032594,-22.431648473823863,-18.83025317505624
75000,-18.35223478021672,-20.435064996598612,-16.16085952816672
76500,-16.168420603178422,-18.381408549832724,-14.035235028239333
78000,-14.08220896090908,-16.24026972500798,-12.118558585610302
80000,-11.618790037373087,-13.54360041598107,-9.948057885433162
82000,-9.578567851355086,-11.208547097543637,-8.199444365279039
84000,-7.934135280798751,-9.28048459603465,-6.809153462577697
86000,-6.622035978536308,-7.723851816594637,-5.705767746592339
88000,-5.5756124928416755,-6.476925081191855,-4.826292560038603
90000,-4.737106954975385,-5.477648525001398,-4.120050392915347
92000,-4.060213153693926,-4.672853341415038,-3.5478662762765554
94000,-3.509057342985474,-4.019952518003162,-3.079944254111869
96000,-3.056231195847547,-3.485850014585945,-2.693717361630116
98000,-2.6808634102265416,-3.0451381346032713,-2.372056417251797
100000,-2.3670221645383367,-2.6783645653232067,-2.1018862063846986
102000,-2.1024785070067953,-2.3705992953082173,-1.8731513217004838
104000,-1.8777778330254866,-2.110321467030245,-1.6780539994005201
106000,-1.685551631225816,-1.8885791036119284,-1.5104946382782423
108000,-1.5200092043333207,-1.698362570252067,-1.365660479446222
110000,-1.3765617583426475,-1.5341390931792211,-1.239721810615927
112000,-1.251543164272571,-1.3915064943998372,-1.1296061511296092
115000,-1.0922672796131239,-1.2105077028742188,-0.9887950758439191
118000,-0.9602043956077767,-1.0610930008202621,-0.8715595369707109
120000,-0.8843813755297248,-0.9755983909479671,-0.8040353366239291
122000,-0.8167378979695644,-0.8995165972413114,-0.7436547645690775
125000,-0.7282281646586307,-0.8002508380855521,-0.6644359543079744
128000,-0.6526363077805932,-0.7157437958077075,-0.5965760885587863
130000,-0.6082354591310654,-0.6662292872969997,-0.5566242786678729
132000,-0.5679549720373793,-0.6213919732246187,-0.5203177120859906
135000,-0.5142197170666014,-0.5617048161353034,-0.4717872638128107
138000,-0.46732380247324457,-0.5097386597049172,-0.4293389608654115
140000,-0.4393116633868047,-0.4787555779521572,-0.4039392973164261
142000,-0.4135799277198872,-0.4503341545298191,-0.38057704186287283
145000,-0.37875053320652313,-0.41192629007745546,-0.348906858925617
148000,-0.3478521869360485,-0.3779155117285065,-0.32076298143932896
150000,-0.3291575765343554,-0.35736719941694467,-0.3037120279976872
155000,-0.28808409070873175,-0.3123023092964603,-0.26618625958183967
160000,-0.2537221013619543,-0.27469122395484374,-0.23472157853055375
165000,-0.22471437316149348,-0.24300842204802106,-0.20810625352523077
170000,-0.20002675856858068,-0.2160957621325007,-0.18541381188979078
175000,-0.17886064330115758,-0.1930618199362214,-0.16592655454704433
