Frequency,Nominal,Min,Max
14200,-48.56775948214133,-49.38557614245455,-47.75282735069111
14500,-47.711432024412595,-48.534803909890265,-46.89073473615516
14800,-46.866760867688306,-47.69584602588759,-46.04013250982866
15000,-46.30980894341212,-47.14279225084731,-45.47913273770119
15500,-44.9377049053956,-45.780752935913256,-44.09657338126565
16000,-43.59249466784047,-44.446075792678634,-42.7404150323143
16500,-42.2717705148773,-43.13636902807787,-41.408232660158085
17000,-40.97331493983891,-41.84943192146294,-40.09779051773893
17500,-39.69507728885055,-40.583231465291334,-38.80701880148766
18000,-38.4351537227082,-39.335882304770834,-37.53399365673875
18500,-37.19176998878037,-38.10562946016538,-36.276920031702204
19000,-35.96326660438748,-36.89083342230542,-35.03411699683476
19500,-34.74808614522861,-35.68995730006188,-33.804005244192744
20000,-33.54476241277798,-34.50155577360817,-32.58509656938084
20500,-32.35191132820997,-33.32426567375283,-31.375985222841383
21000,-31.16822347202879,-32.15679806949302,-30.17534110319461
21500,-29.992458262920092,-30.997931807030348,-28.9819048593051
22000,-28.823439851596703,-29.846508507736086,-27.794485076824845
22500,-27.660054901618256,-28.701429104303898,-26.61195785777234
23000,-26.50125254668629,-27.56165207868973,-25.43326926902386
23500,-25.34604696193034,-26.426193668640337,-24.257441351002655
24000,-24.193523176736306,-25.294130439407194,-23.083582658353063
24500,-23.04284700305523,-24.164604783324222,-21.91090467064564
25000,-21.893280273145574,-23.036834124271937,-20.73874588685285
25500,-20.744202993946583,-21.910124880992605,-19.566606026389756
26000,-19.59514455130493,-20.783892598907507,-18.394193519001576
27000,-17.29622224686172,-18.531246140570538,-16.048839480572394
27500,-16.14663278951488,-17.404517430729474,-14.877060399534376
28000,-14.997792437355377,-16.277758179289094,-13.707599938258102
28500,-13.85100137177318,-15.151611269093069,-12.5427232677356
29000,-12.708295320391196,-14.027226147644782,-11.383204548427383
29500,-11.572653020208406,-12.906407863170992,-10.235868930851101
30000,-10.448237772246216,-11.791799817694802,-9.106995088442178
30500,-9.340656611278046,-10.687097935505644,-8.004677665147963
31000,-8.257199346288669,-9.597284261388154,-6.939007692172443
31500,-7.206988694998028,-8.528851333091772,-5.921958318858756
32000,-6.200936249374356,-7.4899637438397875,-4.9668694865014675
33000,-4.371230805846975,-5.541670188422277,-3.2687649991433254
34000,-2.865900943934877,-3.8443963169423627,-1.859339494257264
35000,-1.7463114579707337,-2.6471670459799452,-0.7804186046091106
36000,-1.001441200306668,-2.0767596663654446,0.07902570468763456
