Frequency,Nominal,Min,Max
14200,8.803348527941487e-9,8.683996915791683e-9,8.926277083944878e-9
14500,8.88236031926747e-9,8.758701126059094e-9,9.009860399976847e-9
14800,8.964003324730511e-9,8.835834627359565e-9,9.0962974670396e-9
15000,9.019942864789053e-9,8.888649196452368e-9,9.15556417503374e-9
15500,9.165313642762993e-9,9.025760998701656e-9,9.30974830812602e-9
16000,9.319016171773735e-9,9.17050598204683e-9,9.47304286827868e-9
16500,9.48167258496875e-9,9.323419109378724e-9,9.64617235853555e-9
17000,9.65399708811939e-9,9.485111722701963e-9,9.8299723894236e-9
17500,9.836811953411172e-9,9.656284407876761e-9,1.0025409566103351e-8
18000,1.0031066531148158e-8,9.837742233054959e-9,1.0233605208414815e-8
18500,1.0237859845631252e-8,1.0030412800808343e-8,1.0455863629823046e-8
19000,1.0458467435344675e-8,1.0235367627970653e-8,1.0693705818746469e-8
19500,1.0694373199713105e-8,1.0453847449125871e-8,1.0948909490548582e-8
20000,1.094730712166656e-8,1.0687292127839098e-8,1.1223556604079436e-8
20500,1.1219289840817792e-8,1.093737595082117e-8,1.1520089551812248e-8
21000,1.1512685145734051e-8,1.1206049168395208e-8,1.1841377319076263e-8
21500,1.1830261518925513e-8,1.1495586720330862e-8,1.219079293724618e-8
22000,1.2175263879301666e-8,1.1808645134423921e-8,1.2572303485129896e-8
22500,1.25514965859943e-8,1.2148328583641742e-8,1.2990573658805608e-8
23000,1.2963418539087086e-8,1.2518265003107483e-8,1.3451083440446329e-8
23500,1.3416250756798753e-8,1.2922692952715849e-8,1.3960259517929125e-8
24000,1.3916096010320037e-8,1.33665594961726e-8,1.4525618647590198e-8
24500,1.4470068793082056e-8,1.385562865530618e-8,1.5155918836765112e-8
25000,1.508643185698296e-8,1.4396598851575414e-8,1.5861310653820237e-8
25500,1.5774732429731235e-8,1.4997225969093678e-8,1.6653475580107216e-8
26000,1.6545926557513487e-8,1.5666445987303763e-8,1.7545730287095713e-8
27000,1.8388369019433177e-8,1.725295573336502e-8,1.96920584982153e-8
27500,1.9489082622207017e-8,1.8194871226896976e-8,2.098061844948366e-8
28000,2.0731322452912665e-8,1.9254614283780904e-8,2.2437403594226647e-8
28500,2.2132551189217e-8,2.0447734577519147e-8,2.408081985431798e-8
29000,2.371012172489389e-8,2.1790542933067837e-8,2.5927381094219197e-8
29500,2.5479876627604672e-8,2.3299384471259154e-8,2.798922958717201e-8
30000,2.7454027646353813e-8,2.4989459147207825e-8,3.027062989715424e-8
30500,2.9638146330665884e-8,2.6873032627999193e-8,3.277657868582781e-8
31000,3.2027201392727846e-8,2.8956884759579653e-8,3.547567212087981e-8
31500,3.460084615174153e-8,3.1238913355726833e-8,3.831569527510536e-8
32000,3.7318656945477354e-8,3.370400499598973e-8,4.122221340278304e-8
