Frequency,Nominal,Min,Max
14200,-397.3392268115113,-398.2415045490307,-396.4559684484244
14500,-398.288533414245,-399.22133171094833,-397.3758806186696
14800,-399.24952914480446,-400.21376691818836,-398.3066298538151
15000,-399.89690351913674,-400.8826336268343,-398.9333465192588
15500,-401.5398145804631,-402.5812429675116,-400.5227936928889
16000,-403.21947042879503,-404.3195974680547,-402.1462158160833
16500,-404.9382290749208,-406.1003128220543,-403.8057402270812
17000,-406.69861940518086,-407.9262026342535,-405.5036419095708
17500,-408.50336009623186,-409.8003011275554,-407.24235926604246
18000,-410.3553811091674,-411.7258890653841,-409.0245119618337
18500,-412.257848187674,-413.70652343535215,-410.8529211701931
19000,-414.21419086156743,-415.74607154090995,-412.73063260692686
19500,-416.22813454752054,-417.8487502664319,-414.66094281185826
20000,-418.30373744491436,-420.0191714201672,-416.6474292149737
20500,-420.4454330482001,-422.2623942201806,-418.69398461925556
21000,-422.65807923897995,-424.5839861710252,-420.8048568410901
21500,-424.94701508096153,-426.99009378089903,-422.9846943734581
22000,-427.31812661622035,-429.48752478303464,-425.238599076312
22500,-429.77792314464295,-432.0838437351019,-427.57218704979715
23000,-432.3336256451727,-434.78748304603073,-429.9916590025272
23500,-434.9932691399918,-437.6078715664099,-432.5038815755364
24000,-437.7658208626589,-440.555582782836,-435.11648119840606
24500,-440.66131598644427,-443.6425042216461,-437.83795209521594
25000,-443.69101226429797,-446.882028637326,-440.677779953882
25500,-446.867564008194,-450.2892655254287,-443.6465824080713
26000,-450.2052140462626,-453.8812678165476,-446.7562666722553
27000,-457.42995863983987,-461.69886191790374,-453.4534109489806
27500,-461.3553283743783,-465.9702217076719,-457.07274726587053
28000,-465.5186858485848,-470.51807490020485,-460.8970840582832
28500,-469.9449944118735,-475.371549539099,-464.9474453914986
29000,-474.66146165804236,-480.5616166344589,-469.2470603358059
29500,-479.697087289305,-486.1199618364229,-473.82126188248895
30000,-485.08172539369883,-492.0770167053177,-478.6971282410299
30500,-490.8444367094157,-498.4588661531458,-483.90272099345873
31000,-497.01088213074405,-505.2828286134653,-489.465731242373
31500,-503.59955734823313,-512.5517766168707,-495.4113177042615
32000,-510.6168628263699,-520.2478091517662,-501.7589450554819
33000,-525.8686610132271,-536.7150356289344,-515.6835716132882
34000,-542.3807668879056,-554.0018272023644,-531.1072831274716
35000,-559.3934602966785,-571.1696686750728,-547.5396590369734
36000,-576.019458056271,-587.413588867059,-564.1903107050503
37000,-591.5993126483935,-602.3268048857132,-580.2543243410296
39000,-618.8319132404251,-628.2025668213078,-608.8782289165604
40000,-630.6852208385013,-639.5361640533745,-621.3400877059316
41000,-641.621886157081,-650.0692994827748,-632.7673719906111
42000,-651.8221751184778,-659.9629815443908,-643.3484356562655
43200,-663.292208922896,-671.1636777031705,-655.1576834595577
44500,-674.9722546966265,-682.6412661035085,-667.0965040801053
45800,-686.0424032492323,-693.5764719342224,-678.343876715283
47500,-699.7995638659042,-707.2323335846668,-692.2448754171377
48800,-709.8835180733466,-717.2843790558185,-702.3878167945511
50000,-718.9232059103421,-726.3245082066269,-711.4498897110076
51500,-729.9307435065615,-737.3694704134592,-722.4473165103554
53000,-740.6848222321963,-748.2004603195542,-733.1521288129882
55000,-754.7472456471805,-762.429304093736,-747.0889565880252
56500,-765.1712216313409,-773.0323203088666,-757.370646501994
58000,-775.56447317433,-783.6605128118267,-767.5739965717604
60000,-789.502737858651,-798.0187991052991,-781.1690093124782
61500,-800.1251751698566,-809.0511070696324,-791.45186688702
63000,-810.9934107191267,-820.4166763354974,-801.8988419632482
64500,-822.1970592878345,-832.1949211278252,-812.5966539528121
66000,-833.8061219992247,-844.4188799067274,-823.6282491425143
67500,-845.8427839965742,-857.0377803178426,-835.055347603132
68800,-856.5768753777088,-868.1692607086997,-845.2912793740368
70000,-866.643016326743,-878.4472052278593,-854.9819157002878
71500,-879.2370910678374,-891.031291299782,-867.3062057151262
73200,-893.1549826556274,-904.5514592662328,-881.2765945801779
75000,-907.0081070718254,-917.629672740621,-895.6126235584417
76500,-917.5923713360255,-927.4139575974425,-906.8575220697973
78000,-927.1980855058544,-936.1817483956388,-917.2538677902339
80000,-938.4938670213731,-946.4112649354171,-929.6525806364536
82000,-948.2133364204285,-955.18906852313,-940.4069744702468
84000,-956.5839742606302,-962.7601737848609,-949.684849074606
86000,-963.833648315699,-969.3417396739537,-957.7042574580689
88000,-970.1613169401248,-975.1128742118008,-964.6767051671246
90000,-975.7305810889898,-980.216869626632,-970.785100583335
92000,-980.6725930377014,-984.7672034713443,-976.179714717258
94000,-985.0916486031317,-988.8537627531541,-980.98135310184
96000,-989.0707683089183,-992.5481454768577,-985.2864982513693
98000,-992.6764130069924,-995.9078496593974,-989.1723184552428
100000,-995.9622126385976,-998.9794800647995,-992.7008833739367
102000,-998.97183200204,-1001.8011739917977,-995.9225051253961
104000,-1001.7411498616448,-1004.4044330211178,-998.878317812976
106000,-1004.2999135068012,-1006.8155112154512,-1001.6022494036
108000,-1006.6729994960716,-1009.0564740855887,-1004.1225270589061
110000,-1008.8813803820937,-1011.1460129499868,-1006.4628301802795
112000,-1010.9428717404636,-1013.1000767045759,-1008.6431789097455
115000,-1013.7924406214507,-1015.806610656042,-1011.6504090255523
118000,-1016.3881924414612,-1018.2774521232204,-1014.3832817272444
120000,-1017.9951014445968,-1019.8095471916838,-1016.0720634308742
122000,-1019.5134322430232,-1021.2589184399825,-1017.665689498978
125000,-1021.6412949606546,-1023.2929144087954,-1019.8957776513943
128000,-1023.6089814693863,-1025.1766250304215,-1021.9546563179189
130000,-1024.8410864468613,-1026.3575013971624,-1023.2422697565144
132000,-1026.01509297903,-1027.483649196975,-1024.468048991042
135000,-1027.676422513814,-1029.0788200558645,-1026.2008127476026
138000,-1029.2292873512877,-1030.5714757656403,-1027.8185506837076
140000,-1030.2097366309633,-1031.5147074792583,-1028.8390346912654
142000,-1031.1497363678918,-1032.419596189877,-1029.8167567940022
145000,-1032.4895389524938,-1033.7103070938456,-1031.2092262868205
148000,-1033.75202208601,-1034.9275406509246,-1032.5201755245225
150000,-1034.5541649665643,-1035.7014342786151,-1033.3525371207306
155000,-1036.4343597254688,-1037.5169117310795,-1035.3018483801773
160000,-1038.1551026359634,-1039.180227950606,-1037.083789045026
165000,-1039.7369233941579,-1040.7107392442142,-1038.7201821062815
170000,-1041.1968687663357,-1042.1245567250887,-1040.2291020627526
175000,-1042.5492246964964,-1043.435211445393,-1041.625661481489
