Frequency,Nominal,Min,Max
14200,-6.934877755189403,-6.9506254724765615,-6.919461988607761
14500,-6.951446281018028,-6.967726682552495,-6.935517484807706
14800,-6.968218820613898,-6.985047944531546,-6.951762123471413
15000,-6.979517634939035,-6.996721870854396,-6.962700392760526
15500,-7.008191842276614,-7.026368196554345,-6.99044147922689
16000,-7.037507367130385,-7.056708206155683,-7.018775540426349
16500,-7.0675053645523995,-7.0877875521237925,-7.047739705415482
17000,-7.098229971935709,-7.11965534112529,-7.077373680150076
17500,-7.129728639139266,-7.152364530340072,-7.107720022782079
18000,-7.162052503631112,-7.185972379891871,-7.138824455096929
18500,-7.19525681806185,-7.220540970925978,-7.170736215856584
19000,-7.2294014390185595,-7.256137800620774,-7.203508462829941
19500,-7.264551387288192,-7.29283646749277,-7.237198731490841
20000,-7.300777491811648,-7.330717462780385,-7.271869459771304
20500,-7.338157131664469,-7.369869086496426,-7.307588589900506
21000,-7.376775092875289,-7.410388509926461,-7.344430260260407
21500,-7.416724559684777,-7.452383009876051,-7.382475602358777
22000,-7.458108262907061,-7.495971403704699,-7.421813660449763
22500,-7.5010398112571615,-7.541285717850202,-7.46254245397202
23000,-7.545645234592857,-7.588473125612261,-7.504770205706816
23500,-7.5920647705067,-7.637698191478329,-7.54861676114875
24000,-7.640454926749082,-7.6891454576029306,-7.594215226604188
24500,-7.690990850134576,-7.743022400460568,-7.641713854250723
25000,-7.74386902551854,-7.799562767712928,-7.691278200574306
25500,-7.799310312309494,-7.859030269805725,-7.743093578241198
26000,-7.857563294753105,-7.92172253652493,-7.797367807348666
27000,-7.983658875526688,-8.058165293178082,-7.914255025458616
27500,-8.05216950175252,-8.132714585046829,-7.97742436092535
28000,-8.124833797614938,-8.212089597153865,-8.044171629658111
28500,-8.202087455753546,-8.29679870976461,-8.114863770818186
29000,-8.284405338261662,-8.387382468978059,-8.1899062081643
29500,-8.372293585425012,-8.48439389371476,-8.269741085803737
30000,-8.466273249375032,-8.588364114898933,-8.354841007647503
30500,-8.566851535676225,-8.699748400130115,-8.44569574069534
31000,-8.674476311422934,-8.818849013095184,-8.542788585861084
31500,-8.789470387312672,-8.945716088910876,-8.646558645583038
32000,-8.911945472524394,-9.080037195985408,-8.757345642551481
33000,-9.178139567734753,-9.36744451668358,-9.000376223095845
34000,-9.466330181685791,-9.669155946745946,-9.269570771896106
35000,-9.763257696301217,-9.968791305905139,-9.55636983544231
36000,-10.053436098635306,-10.252301196686489,-9.846978529652937
37000,-10.325355858249802,-10.512585918273162,-10.127348458686042
39000,-10.80065440246131,-10.96420316051151,-10.626929838305724
40000,-11.0075336472994,-11.16201174830599,-10.844430305098847
41000,-11.19841446629729,-11.345849642107492,-11.043874040427909
42000,-11.376443093328497,-11.51852696922819,-11.228548439756718
43200,-11.576632948530646,-11.714015995714378,-11.434658696108075
44500,-11.780488204065891,-11.914337703488986,-11.643030424741625
45800,-11.973698744993747,-12.105193049618224,-11.839334109424186
47500,-12.213806493480368,-12.343532797615307,-12.081952306087008
48800,-12.389804696020573,-12.518974087647088,-12.258980028959641
50000,-12.547577012128627,-12.676754106134213,-12.41714303840761
51500,-12.739694785719717,-12.869525062401777,-12.609084345303293
53000,-12.92738886750072,-13.058561497513406,-12.79591856579223
55000,-13.17282445690174,-13.306901670124775,-13.03916209775002
56500,-13.354757158974156,-13.49195921372115,-13.218611439417868
58000,-13.536153618387297,-13.677456166433583,-13.396693492868886
60000,-13.779422229143146,-13.928055537198647,-13.63397122704499
61500,-13.964818734810377,-14.120605635270257,-13.813440948234382
63000,-14.154505229027436,-14.318972240323076,-13.99577506018835
64500,-14.350045784787735,-14.524541392055072,-14.182487102165565
66000,-14.552662152171996,-14.737889720374982,-14.375024759973037
67500,-14.76274153497542,-14.958131080530206,-14.574465252060392
68800,-14.950086771786165,-15.152412063971848,-14.753115963472174
70000,-15.125774074316638,-15.33179603616849,-14.922249473978622
71500,-15.345582144790988,-15.551429771477899,-15.137348912708214
73200,-15.588495177933545,-15.787401217915132,-15.381178196187319
75000,-15.830277810684619,-16.015659103321894,-15.631389103519341
76500,-16.015008070996085,-16.186427089026452,-15.827649606595104
78000,-16.18265941026507,-16.33945390658104,-16.009100069592346
80000,-16.37980798929679,-16.517992651087386,-16.225498431768198
82000,-16.54944473185714,-16.671194224786348,-16.413198013224065
84000,-16.695539922660686,-16.80333493961862,-16.575127472657297
86000,-16.822070604618045,-16.918204934320237,-16.715092553010763
88000,-16.932509256089418,-17.01893023358123,-16.83678472245692
90000,-17.02971125240039,-17.10801175857673,-16.94339633448352
92000,-17.11596563257831,-17.18743006623189,-17.0375501129951
94000,-17.193092702023648,-17.258753980777406,-17.121354512296197
96000,-17.262541442220613,-17.32323312313483,-17.196493469931745
98000,-17.32547181385908,-17.381871023013172,-17.264313826629856
100000,-17.38281983599141,-17.435481086991807,-17.32589890233143
102000,-17.435347603115254,-17.484728936501455,-17.382126809148264
104000,-17.48368131779964,-17.530164377845363,-17.433715472618754
106000,-17.528340168187952,-17.57224563085952,-17.48125704747423
108000,-17.569758332133667,-17.61135781135836,-17.525244190623766
110000,-17.60830184973286,-17.64782714439049,-17.566090185586432
112000,-17.644281661437827,-17.681931990701955,-17.60414444975729
115000,-17.694016020673423,-17.72916991947205,-17.656630516643247
118000,-17.73932043649724,-17.77229423836912,-17.704328143325647
