Frequency,Nominal,Min,Max
245,19648.116413006745,18708.092290397857,20686.732571821587
250,19253.656556153383,18332.3268177835,20271.60327003086
255,18874.636170067046,17971.2656253997,19872.72602244674
260,18510.164522933657,17624.0603976863,19489.16321622273
270,17821.63441960626,16968.1387657812,18764.57774103275
275,17496.1064065029,16658.02278448897,18422.00816923422
280,17182.177521673253,16358.953616655997,18091.648183803816
285,16879.23729159293,16070.349859380869,17772.855180619485
290,16586.717344484205,15791.67020666415,17465.030873186977
295,16304.087842371508,15522.410051366021,17167.61753690868
300,16030.854269931344,15262.098426968096,16880.094628925694
305,15766.55453919304,15010.295250145564,16601.97574043436
310,15510.756374429739,14766.588830187247,16332.80584393998
315,15263.054946107433,14530.593615613641,16072.158802676788
320,15023.070726651242,14301.948152049628,15819.635113519858
330,14564.850812943287,13865.370192743363,15337.480841029192
340,14133.496770026863,13454.37889567684,14883.60632495596
350,13726.705863517764,13066.781184165888,14455.587631039687
360,13342.431220027716,12700.627658673206,14051.270152377736
370,12978.847251357365,12354.179667468568,13668.732213838766
390,12307.385192265643,11714.3373063658,12962.293737188864
400,11996.721916548438,11418.290386481296,12635.461418362871
410,11701.140126742812,11136.6069310874,12324.504216843618
420,11419.562629087792,10868.261045106123,12028.28824108359
432,11098.786066609244,10562.547549377772,11690.846187688818
445,10770.69229808941,10249.847873339399,11345.719705278605
458,10461.1141741674,9954.78241745788,11020.083127854978
475,10081.690143339945,9593.126969005923,10620.996505946372
488,9809.260745318463,9333.44191371513,10334.463251330691
500,9570.27222151,9105.623152472028,10083.112634585917
515,9287.082069123813,8835.65531153055,9785.28771518816
530,9019.79608544444,8580.834721462583,9504.203642667317
550,8685.905839208943,8262.494678351302,9153.09906830043
565,8450.863926296914,8038.383766273175,8905.95518265816
580,8227.865314575702,7825.743132189373,8671.488033454098
600,7947.707012519161,7558.578446438703,8376.941521505456
615,7749.421270900707,7369.475021367094,8168.48688696986
630,7560.473333782994,7189.265255347089,7969.861057635924
645,7380.211917229934,7017.328891496491,7780.378459341461
660,7208.044949791878,6853.102065855756,7599.415846794791
675,7043.432993366657,6696.071041543566,7426.40537816361
