Frequency,Nominal,Min,Max
245,-88.93335540012788,-88.99728236114548,-88.8682609684574
250,-88.91140775286367,-88.97666954871565,-88.84495021806872
255,-88.88944921146569,-88.95604767845217,-88.8216264663084
260,-88.86747955584852,-88.93541656757805,-88.79828945019312
270,-88.82350602095656,-88.89412589240587,-88.7515745720805
275,-88.80150170084471,-88.87346596206396,-88.72819618322212
280,-88.77948538483437,-88.8527960590199,-88.70480347627975
285,-88.75745685215826,-88.83211599999531,-88.68139618735475
290,-88.73541588190494,-88.81142560160583,-88.65797405235483
295,-88.71336225301616,-88.79072468035913,-88.63453680699067
300,-88.69129574428422,-88.77001305265301,-88.61108418677233
305,-88.66921613434944,-88.74929053477354,-88.58761592700573
310,-88.64712320169745,-88.72855694289305,-88.56413176278922
315,-88.62501672465665,-88.70781209306827,-88.54063142900988
320,-88.60289648139552,-88.6870558012384,-88.51711466034017
330,-88.55861380807117,-88.64550815472087,-88.47003075592488
340,-88.51427340377495,-88.60391252842996,-88.42287792249498
350,-88.46987348783118,-88.56226744545118,-88.3756540293409
360,-88.42541227675365,-88.52057142680431,-88.32835694197848
370,-88.38088798416132,-88.47882299138146,-88.28098452203545
390,-88.29164299392642,-88.39516293476618,-88.18600511079411
400,-88.24691870828586,-88.35324834016147,-88.1383938222847
410,-88.20212416496479,-88.31127538183183,-88.09069860654363
420,-88.15725756183677,-88.26924256709948,-88.04291730404572
432,-88.10331997670602,-88.21872207357764,-87.98546305914775
445,-88.04476393495652,-88.16388884007176,-87.92307320476469
458,-87.98607540593905,-88.10894558581172,-87.86052502752527
475,-87.90912231246422,-88.03692520598042,-87.77848439147202
488,-87.8501127757,-87.98171542619957,-87.71555253507623
500,-87.79551316557921,-87.93064524309818,-87.65730705479494
515,-87.72708418418276,-87.86665854973099,-87.58428562853278
530,-87.65844999257516,-87.80250154741762,-87.51101881566682
550,-87.56660774045261,-87.71668504829523,-87.41293506133414
565,-87.49747043659747,-87.65211060039726,-87.33906648153462
580,-87.42810704867128,-87.58734861042743,-87.26492741383011
600,-87.33525992995948,-87.50069855540605,-87.16564142577135
615,-87.26534441861496,-87.43547868507143,-87.09084161037286
630,-87.19518168209558,-87.37005384347452,-87.01574584614241
645,-87.12476532222429,-87.3044187609017,-86.94034641962189
660,-87.05408891384033,-87.23856814785519,-86.8646355810178
675,-86.98314600411533,-87.1724966945547,-86.78860554327413
688,-86.92144157023667,-87.11505201348243,-86.72244859982685
700,-86.8642979796987,-87.06187236190779,-86.6611582108321
715,-86.79261263475,-86.9951858826933,-86.58423861190828
732,-86.7110178171643,-86.91931685545941,-86.49664184178397
750,-86.6242060628793,-86.8386394989634,-86.40339209448881
765,-86.55152699944131,-86.77113029966264,-86.32528112922198
