Frequency,Nominal,Min,Max
245,-104.77154941789638,-106.9028847594503,-102.73064989798792
250,-104.06961502775543,-106.2009527206477,-102.02871297168059
255,-103.38158043058837,-105.51292052166387,-101.34067578786984
260,-102.70690576092592,-104.83824829700015,-100.66599848112418
270,-101.39562870164727,-103.52697626804297,-99.3547159965176
275,-100.7580918307886,-102.8894419824431,-98.71717633749535
280,-100.13204192288597,-102.26339470648709,-98.09112359115183
285,-99.5170723130296,-101.6484277752308,-97.47615109262046
290,-98.91279755581857,-101.04415574323808,-96.87187339654432
295,-98.31885197427133,-100.45021293349126,-96.27792482598691
300,-97.73488833069462,-99.86625210826017,-95.69395814330095
305,-97.16057660741362,-99.29194324983213,-95.11964333085854
310,-96.59560288664329,-98.72697244038349,-94.55466647092236
315,-96.03966831998201,-98.17104083147328,-93.99872871513956
320,-95.49248817905807,-97.62386369468956,-93.45154533518794
330,-94.42331767343673,-96.55469933635158,-92.38236820199552
340,-93.38606428870166,-95.51745228395534,-91.34510799068151
350,-92.37887726355993,-94.51027177585942,-90.33791394038062
360,-91.40006228251634,-93.53146349620863,-89.3590917360389
370,-90.44806432545062,-92.57947242451125,-88.40708635799076
390,-88.6189086336215,-90.75033105380356,-86.57791523302932
400,-87.7392129313026,-89.87064278643902,-85.69821151953659
410,-86.88123712390893,-89.0126745963779,-84.84022750523692
420,-86.04393423775798,-88.17537950951072,-84.00291621696934
432,-85.06509376409386,-87.19654863454531,-83.02406540384146
445,-84.03489905561875,-86.16636461871613,-81.99385917903656
458,-83.03436540029381,-85.16584196086102,-80.99331368074309
475,-81.7679848549321,-83.89947625499389,-79.72691715771042
488,-80.8297853170991,-82.96128841400319,-78.78870502810454
500,-79.98567367310899,-82.11718783448055,-77.94458147490738
515,-78.95857114431381,-81.09009949580911,-76.91746367521121
530,-77.96095176535474,-80.09249470474559,-75.91982860035935
550,-76.67382977164733,-78.80539277703102,-74.63268502175058
565,-75.73883264814172,-77.87041116206032,-73.69767121994548
580,-74.82832897936507,-76.9599233930078,-72.7871504560075
600,-73.65027624622495,-75.78189246433838,-71.60907428543516
615,-72.7922187558101,-74.92385177804438,-70.75099873759812
630,-71.95483228374427,-74.08648249392743,-69.91359380042154
645,-71.13714378321411,-73.26881156279737,-69.09588643007467
660,-70.3382473273747,-72.46993305534802,-68.29697070281235
675,-69.55729807480104,-71.68900212760465,-67.51600178043341
688,-68.89438139792813,-71.02610163470912,-66.8530677367387
700,-68.29347853555488,-70.42521395905285,-66.25214858206033
715,-67.55666688406536,-69.68842162304267,-65.51531621519933
732,-66.74006520659488,-68.87184227904626,-64.69869059464298
750,-65.8958356061847,-68.02763683367311,-63.85443510956585
765,-65.20763893336189,-67.3394606851726,-63.1662164523129
780,-64.53279920073818,-66.6646418325362,-62.49135436362753
800,-63.65291475625095,-65.78478577528222,-61.611439540846106
820,-62.7947458443851,-64.92664586815056,-60.75323960947992
840,-61.95724552603232,-64.08917516291116,-59.91570764253922
860,-61.13944078205403,-63.271400630758976,-59.09787063381641
880,-60.34042571473617,-62.4724163637231,-58.29882269941284
900,-59.559355513352294,-61.6913775401806,-57.517719043379685
920,-58.7954410830449,-60.927495053684595,-56.75377058668328
940,-58.04794425141261,-60.18003071949372,-56.00623917388273
960,-57.31617347981132,-59.44829298581168,-55.27443328452846
980,-56.5994800169161,-58.7316330872825,-54.55770418682843
1000,-55.89725444092464,-58.02944158712282,-53.855442479963635
1020,-55.20892354421794,-57.341145261706274,-53.16707497886831
1040,-54.53394752057284,-56.666204287694526,-52.49206190157043
1060,-53.87181742034352,-56.00410969713188,-51.82989432450953
1080,-53.22205284355506,-55.35438107044608,-51.180091875775375
1100,-52.584199844713396,-54.71656444115976,-50.54220064007238
1120,-51.95782902644149,-54.09023038942185,-49.91579125251968
1150,-51.03891832286091,-53.17137552684425,-48.99682214894479
1180,-50.14364845621641,-52.27616225118807,-48.10149334308977
1200,-49.559345600737174,-51.69189749157017,-47.51715096587746
1220,-48.98469032253348,-51.117280567346114,-46.94245603692735
1250,-48.140114294372005,-50.272762479105246,-46.097820401821124
1280,-47.31554624648374,-49.44825274974307,-45.27319275666613
1300,-46.776489228787796,-48.90923475354694,-44.734096114045165
1320,-46.24565235021633,-48.37843695876438,-44.203219773178745
1350,-45.464272023839946,-47.59711526938932,-43.42178071660207
1380,-44.700044714111506,-46.83294645289894,-42.65749546938557
1400,-44.19972305343965,-46.33266361285166,-42.15713576746502
1420,-43.70648927154398,-45.83946843948408,-41.66386452051811
1450,-42.97949711925334,-45.112533655384794,-40.93681747370566
1480,-42.267374083543785,-44.40046711579737,-40.224641439043836
1500,-41.80059004907448,-43.93372012936686,-39.75782332518937
1550,-40.660294070994254,-42.7935139769254,-38.61744750820367
1600,-39.556160292513674,-41.68946480083295,-37.51324342845669
1650,-38.48596697399695,-40.61934910667655,-36.4429920331446
1700,-37.44769256002772,-39.581143299659296,-35.40467489594918
1750,-36.43949264277274,-38.57300060993392,-34.39645123936886
1800,-35.45968019452353,-37.59323128343209,-33.41663823184531
1850,-34.506708533885956,-36.64028550245547,-32.463694024437245
1900,-33.57915659021283,-35.712738600422576,-31.536203091900305
1950,-32.675716110176346,-34.80927821447485,-30.632863522308874
2000,-31.79518051360411,-33.928693082882326,-29.752475962547717
2050,-30.936435156422995,-33.06986324492591,-28.893933977676497
2100,-30.098448799482426,-32.231751441881045,-28.056215623037595
2150,-29.28026611523286,-31.413395550959255,-27.238376061105694
2200,-28.481001091310304,-30.613901911174967,-26.439541082057474
2250,-27.699831212260086,-29.832439422331916,-25.65890140910401
2300,-26.935992318884473,-29.068234316630836,-24.895707687734987
2350,-26.18877405977382,-28.320565517544203,-24.149266072924043
2400,-25.457515862075102,-27.588760513181086,-23.4189343406287
2450,-24.74160335893519,-26.872191681849987,-22.704118460052488
2500,-24.040465219703776,-26.170273016295106,-22.004269571491363
2550,-23.353570336192554,-25.482457200435547,-21.318881321456935
2600,-22.680425324302416,-24.80823299861885,-20.647487512390235
2700,-21.373586935527577,-23.498681145897756,-19.34500700566334
2750,-20.739076655595213,-22.86249163870053,-18.713171206602055
2800,-20.116679135292497,-22.238166499972444,-18.093828583971614
2850,-19.50606088980351,-21.625344465580497,-17.4866869916139
2900,-18.90691604700455,-21.023689573818828,-16.891485024569064
2950,-18.318965245877564,-20.43288997135221,-16.307990959543254
3000,-17.741954647493316,-19.85265684415977,-15.736001770631347
3050,-17.17565504075533,-19.282723459281186,-15.175342194835785
3100,-16.619861025613286,-18.722844304150783,-14.625863821815688
3150,-16.074390256750892,-18.172794311073176,-14.087444182092392
3200,-15.539082730870891,-17.632368154972703,-13.559985807728488
3300,-14.498424998584323,-16.57966097455359,-12.537681953933008
3400,-13.497028679508176,-15.563451856049857,-11.558632625612375
3500,-12.534347688373417,-14.58274908386591,-10.62284420485144
3600,-11.610123772481487,-13.63682393471774,-9.73059935976528
3700,-10.724356454934396,-12.72519418106284,-8.88239543978605
3900,-9.069249302932494,-11.004011929130233,-7.320713350211394
4000,-8.300823597650048,-10.194546420135403,-6.608573010498301
4100,-7.5725653442411245,-9.419493153363316,-5.942951628286083
4200,-6.885038670747373,-8.679248176385688,-5.324109097912906
4320,-6.114433474677035,-7.83755693260126,-4.643119970181192
4450,-5.347137489308206,-6.984002532925146,-3.980211349639953
4580,-4.65001954528312,-6.19194810627517,-3.392827440033017
4750,-3.842630443242092,-5.249882717353902,-2.7306426306876537
4880,-3.302283675545801,-4.6010737875089625,-2.2834640072194463
5000,-2.8598172630656453,-4.056500245058553,-1.925736051635629
5150,-2.3778015172549525,-3.4471200613951587,-1.5455653275538548
5300,-1.9680163204756047,-2.9150152307153854,-1.2309491042424268
5500,-1.520422392821754,-2.3374318274995347,-0.8973379761790048
5650,-1.2484553236126816,-1.9759911677778499,-0.7003417393385579
5800,-1.0225801577724594,-1.6686532520761643,-0.5267637108506807
6000,-0.7810365394510093,-1.3520292111676013,-0.3075169236830811
6150,-0.6366028906565536,-1.2214938902347237,-0.15002054984108243
6300,-0.5177619286527547,-1.1109613477119595,-0.008806346466165705
6450,-0.420059953082012,-1.0168943112303301,0.1048857321881995
6600,-0.33975408718543254,-0.9363863371405932,0.19569095773254722
6750,-0.2737302184463806,-0.8670613138359449,0.2675822928171013
6880,-0.22606183100358773,-0.8145187892318178,0.3172014308001067
7000,-0.18865268372364632,-0.7712758925255596,0.3542504773310148
7150,-0.14935173754037498,-0.7232525534768468,0.39068688251745765
7320,-0.11307446432622456,-0.675983232427409,0.4211155054779654
7500,-0.08235602106065198,-0.6343471910482589,0.44333592164678587
7650,-0.06161821107654976,-0.6035246024429058,0.45563779534198035
7800,-0.04447111948030388,-0.5756598503985579,0.4634418641666749
8000,-0.026126070038128887,-0.5423770471748142,0.46833741434398424
8200,-0.011880113410127402,-0.51278264247056,0.47056527325191727
8400,-0.0008264561730508373,-0.48624208653617934,0.4692212472481327
8600,0.00773299578937727,-0.46225748476354367,0.4648351983860859
8800,0.014337620601584753,-0.44043478202426967,0.45821509579352326
9000,0.019405740979819706,-0.42045930887712735,0.4499810932968892
9200,0.023263036108918913,-0.40207748323904957,0.4406090373334629
9400,0.026164023685874668,-0.385083053264341,0.4304637661077475
9600,0.028308349219052547,-0.36930670097556734,0.419824597362592
9800,0.029853179084831077,-0.35460814246518674,0.4089048565369718
10000,0.03092266367088007,-0.3408700906189569,0.39786686308505737
10200,0.031615191014820035,-0.3279936137569729,0.3868334547558311
10400,0.0320089687543195,-0.3158945455803103,0.3758968699473456
10600,0.03216633677816976,-0.3045006908939298,0.3651256103879821
10800,0.03213711248311345,-0.29374963681966454,0.354569756391912
11000,0.031961195874897534,-0.2835870271629194,0.34426509350898726
11200,0.031670606148386266,-0.2739651929712926,0.33423632370184037
11500,0.031074605730075054,-0.26045566431818484,0.3197438810607522
11800,0.0303440395025246,-0.2479464405699186,0.3059350127518431
12000,0.029806653479966912,-0.24011065472302956,0.29711213218737886
12200,0.02924200433781237,-0.23264590668383206,0.2885932512651071
12500,0.028362516730538936,-0.22209161765425336,0.2763742959811177
12800,0.027463485690519873,-0.21224425527509191,0.26480638304353993
13000,0.02686147721627579,-0.20604008358364348,0.2574428242571961
13200,0.02626166004912894,-0.2001044050266841,0.2503477394570917
13500,0.025372086421941054,-0.19167034007813305,0.24018840278815898
13800,0.02450082916713795,-0.18375743062609165,0.230580990302289
14000,0.023932636327113108,-0.17875040394664898,0.22446713938680543
14200,0.023375774592294195,-0.17394440849424003,0.21857546046042775
14500,0.022563267760936614,-0.16708911404655008,0.2101349851422678
14800,0.02177944097668172,-0.16062906570336344,0.20214509945024664
15000,0.021273230508697658,-0.15652706229205865,0.19705504202635046
15500,0.02006528481743384,-0.1469300193993792,0.18510090954636957
