Frequency,Nominal,Min,Max
245,4.455461055176505e-9,4.43139862493051e-9,4.479603436731073e-9
250,4.456132780790763e-9,4.4319907348088396e-9,4.480361446814878e-9
255,4.4568178565768515e-9,4.432594634451115e-9,4.481134491800164e-9
260,4.45751626955536e-9,4.433210313688448e-9,4.481922555298731e-9
270,4.458953053997694e-9,4.434476969342525e-9,4.483543670817969e-9
275,4.459691398332224e-9,4.435127924493961e-9,4.4843766886027175e-9
280,4.460443025603169e-9,4.435790616711621e-9,4.485224656432568e-9
285,4.461207921668423e-9,4.4364650349044826e-9,4.4860875564708315e-9
290,4.461986072157305e-9,4.4371511677998495e-9,4.486965370596748e-9
295,4.462777462471944e-9,4.437849003944294e-9,4.487858080407422e-9
300,4.463582077788653e-9,4.438558531704654e-9,4.48876566721982e-9
305,4.46439990305937e-9,4.439279739268981e-9,4.48968811207276e-9
310,4.4652309230130685e-9,4.440012614647559e-9,4.490625395728951e-9
315,4.466075122157229e-9,4.440757145673915e-9,4.491577498677062e-9
320,4.466932484779329e-9,4.44151332000584e-9,4.492544401133814e-9
330,4.468686636516156e-9,4.443060548345188e-9,4.494522524093142e-9
340,4.470493248180504e-9,4.444654197453289e-9,4.496559600983101e-9
350,4.472352186307189e-9,4.446294162374333e-9,4.4986554639674795e-9
360,4.474263314059808e-9,4.4479803354444525e-9,4.500809941069678e-9
370,4.4762264912828995e-9,4.4497126063280396e-9,4.503022856246423e-9
390,4.480308417245246e-9,4.453314987058702e-9,4.507623276771499e-9
400,4.482426869565317e-9,4.455184863215221e-9,4.510010410387363e-9
410,4.484596778630401e-9,4.45710036988287e-9,4.512455238772037e-9
420,4.48681798851544e-9,4.459061383942969e-9,4.5149575667138244e-9
432,4.4895509335145435e-9,4.4614744936238165e-9,4.518035979499814e-9
445,4.4925944043267235e-9,4.464162184106537e-9,4.52146363389618e-9
458,4.495723611967716e-9,4.466926021671676e-9,4.524987260727263e-9
475,4.4999443993296746e-9,4.47065467641863e-9,4.529739117948407e-9
488,4.503270029261867e-9,4.473593103245605e-9,4.533482434031119e-9
500,4.506414830976298e-9,4.4763722044745824e-9,4.5370216043826666e-9
515,4.510446581943236e-9,4.4799357487472635e-9,4.541558094267053e-9
530,4.514589697586941e-9,4.483598463554136e-9,4.546218895967012e-9
550,4.520285993856631e-9,4.488635478598647e-9,4.552625318700033e-9
565,4.524686488270586e-9,4.492527620592643e-9,4.557573118520416e-9
580,4.529196202604579e-9,4.496517221649865e-9,4.562642575937356e-9
600,4.535377901022116e-9,4.5019873707490775e-9,4.569589677435026e-9
615,4.540139857727715e-9,4.506202290434731e-9,4.574939793280708e-9
630,4.545008781016517e-9,4.510512862237644e-9,4.580408793224193e-9
645,4.549983976892291e-9,4.514918527705806e-9,4.585995826368486e-9
660,4.555064744103584e-9,4.519418721578018e-9,4.591700034571714e-9
675,4.560250374745481e-9,4.5240128722119316e-9,4.597520553278443e-9
688,4.564828859136438e-9,4.528070023711356e-9,4.602658412668137e-9
700,4.569124180726561e-9,4.531877011467145e-9,4.607477520092526e-9
715,4.5745859422892365e-9,4.536718874924574e-9,4.613603933714425e-9
732,4.580899473024658e-9,4.542317280173688e-9,4.6206838794474526e-9
750,4.58772631411495e-9,4.5483725776104725e-9,4.628337202241476e-9
765,4.593525964089495e-9,4.553518162138161e-9,4.63483717567861e-9
780,4.5994253876496826e-9,4.558753560215569e-9,4.641447299427148e-9
800,4.6074452120112316e-9,4.565872751943743e-9,4.650430612976867e-9
820,4.615639344454972e-9,4.573149088913389e-9,4.659606081841135e-9
840,4.624006030892241e-9,4.580581121331546e-9,4.66897161995386e-9
860,4.632543519555136e-9,4.588167395994574e-9,4.678525152926491e-9
880,4.64125006375191e-9,4.595906458284678e-9,4.6882646217802035e-9
900,4.650123924630636e-9,4.6037968541766094e-9,4.698187986680902e-9
920,4.659163373948538e-9,4.611837132252817e-9,4.708293230673521e-9
940,4.6683666968446164e-9,4.62002584572534e-9,4.718578363412143e-9
960,4.677732194613147e-9,4.628361554462793e-9,4.7290414248826e-9
980,4.687258187475683e-9,4.6368428270208125e-9,4.739680489114265e-9
1000,4.696943017349409e-9,4.645468242674394e-9,4.750493667877949e-9
1020,4.706785050609551e-9,4.654236393450571e-9,4.761479114366744e-9
1040,4.716782680843747e-9,4.663145886159937e-9,4.7726350268569574e-9
1060,4.72693433159634e-9,4.672195344425546e-9,4.7839596523461386e-9
1080,4.7372384591005265e-9,4.681383410707782e-9,4.795451290165483e-9
1100,4.747693554996442e-9,4.690708748323805e-9,4.8071082955638265e-9
1120,4.758298149033258e-9,4.700170043460212e-9,4.818929083260626e-9
1150,4.7744822339750095e-9,4.714614094253428e-9,4.836964044686362e-9
1180,4.790994845347219e-9,4.729356920929207e-9,4.85535925304453e-9
1200,4.802183585145426e-9,4.739349435357759e-9,4.86782062893926e-9
1220,4.813515136691862e-9,4.7494717510888806e-9,4.880438874644592e-9
1250,4.83077765707963e-9,4.764896129571133e-9,4.899657868231194e-9
1280,4.848355086714131e-9,4.780606342620179e-9,4.919223691073349e-9
1300,4.8602466022908306e-9,4.791236891036447e-9,4.932458705567241e-9
1320,4.872275588955432e-9,4.80199195208202e-9,4.945845674802314e-9
1350,4.890574923017044e-9,4.818355977316944e-9,4.9662095219369574e-9
1380,4.909178930524282e-9,4.834995117084478e-9,4.986911727574476e-9
1400,4.92174970916207e-9,4.846239372217206e-9,5.000900437876657e-9
1420,4.934454273317487e-9,4.857603955520171e-9,5.015038579449071e-9
1450,4.9537608674159205e-9,4.874874963567749e-9,5.036525600171434e-9
1480,4.973365952552354e-9,4.892413106305382e-9,5.058348301776902e-9
1500,4.986601340562227e-9,4.9042527153396955e-9,5.073083452079165e-9
1550,5.020267315942239e-9,4.934364833455554e-9,5.1105769853334e-9
1600,5.0547584219826874e-9,4.965205924648737e-9,5.149013972014651e-9
1650,5.090077911607865e-9,4.996773147697344e-9,5.1884071741703596e-9
1700,5.126232831244555e-9,5.029066356316603e-9,5.228774528813382e-9
1750,5.163234173992195e-9,5.062088232939031e-9,5.270139305639369e-9
1800,5.2010970153703674e-9,5.095844412541858e-9,5.3125302344767135e-9
1850,5.2398406298727566e-9,5.130343595597658e-9,5.355981599122968e-9
1900,5.279488586351796e-9,5.165597649126752e-9,5.40053329383243e-9
1950,5.320068820034212e-9,5.2016216947194115e-9,5.446230838307516e-9
2000,5.361613678725929e-9,5.238434182272894e-9,5.493125346618079e-9
2050,5.404159940509546e-9,5.276056948053738e-9,5.541273445037525e-9
2100,5.447748799971882e-9,5.314515255551079e-9,5.590737133352825e-9
2150,5.4924258197281126e-9,5.353837817433373e-9,5.641583583790657e-9
2200,5.5382408437384185e-9,5.394056796760743e-9,5.69388487131954e-9
2250,5.585247868649739e-9,5.435207785440968e-9,5.7477176287554986e-9
2300,5.633504869147241e-9,5.477329757751171e-9,5.803162619838525e-9
2350,5.683073573076903e-9,5.520464996583475e-9,5.860304223281738e-9
2400,5.7340191819131125e-9,5.564658989914947e-9,5.919229820752539e-9
2450,5.786410032005801e-9,5.609960294854735e-9,5.98002908185472e-9
2500,5.8403171919644035e-9,5.65642036648993e-9,6.042793139475736e-9
2550,5.895813991536129e-9,5.70409334864202e-9,6.107613649379359e-9
2600,5.952975477431407e-9,5.753035823565418e-9,6.1745817286991775e-9
2700,6.07259746906689e-9,5.85496595959171e-9,6.315315121482946e-9
2750,6.1352106485115515e-9,5.908076089646652e-9,6.389248651967313e-9
2800,6.199792198292294e-9,5.9626998145107915e-9,6.4656631689641346e-9
2850,6.266414750434183e-9,6.018900507802757e-9,6.544626726484083e-9
2900,6.335147645037917e-9,6.0767414522151854e-9,6.626197809843566e-9
2950,6.406055784482433e-9,6.136285221875504e-9,6.710423414654475e-9
3000,6.479198399658813e-9,6.1975930033471785e-9,6.797337033851875e-9
3050,6.554627732197397e-9,6.260723854389023e-9,6.886956572233203e-9
3100,6.632387638826842e-9,6.325733900336214e-9,6.979282213142766e-9
3150,6.712512126482968e-9,6.392675468858412e-9,7.07429426751582e-9
3200,6.795023829566036e-9,6.461596164898273e-9,7.171951041403052e-9
3300,6.967233134627239e-9,6.605535802068731e-9,7.374909625824573e-9
3400,7.148909201314069e-9,6.757800625218933e-9,7.587308753092974e-9
3500,7.3396628599836315e-9,6.918495191313865e-9,7.807830846711786e-9
3600,7.538775191333046e-9,7.087543966598005e-9,8.034655391616662e-9
3700,7.745158351200678e-9,7.2646543610064246e-9,8.265741934744075e-9
3900,8.173402140618695e-9,7.640599891355435e-9,8.73125814731199e-9
4000,8.391104054205763e-9,7.837478137408406e-9,8.963609634499056e-9
4100,8.607819749763593e-9,8.037898315393118e-9,9.188148732996781e-9
