Frequency,Nominal,Min,Max
245,-0.003998848879711347,-0.00399385840106944,-0.004003754112369104
250,-0.00391721983399009,-0.003912228665617938,-0.003922125833893631
255,-0.003838791764342385,-0.0038337998583749472,-0.0038436984995180046
260,-0.003763380002833953,-0.003758387344755298,-0.00376828744399587
270,-0.0036209351261788755,-0.003615941033493766,-0.003625843900980381
275,-0.0035535973383791744,-0.0035486025591789975,-0.003558506745061876
280,-0.0034886643372996178,-0.0034836688897252493,-0.0034935743550788424
285,-0.003426009557160679,-0.003421013457758364,-0.0034309201669285505
290,-0.0033655151606371376,-0.003360518424494446,-0.0033704263448194514
295,-0.0033070712991768204,-0.0033020739400448935,-0.0033119831161179296
300,-0.003250575447285676,-0.003245577477689343,-0.0032554879005880348
305,-0.0031959318022914385,-0.0031909332336285865,-0.0032008448769283424
310,-0.0031430507421933173,-0.003138051584824719,-0.0031479644243671443
315,-0.00309184833514385,-0.0030868485984744936,-0.0030967626121895368
320,-0.003042245894915786,-0.003037245587468643,-0.0030471607552132905
330,-0.0029475500137956857,-0.0029425485871627604,-0.0029524660095263788
340,-0.002858424075229658,-0.0028534215544830056,-0.002863341170596953
350,-0.002774390657016933,-0.0027693870622223847,-0.0027793088221514093
360,-0.0026950253827817917,-0.002690020729679449,-0.002699944592933431
370,-0.002619949753759669,-0.0026149440543353896,-0.0026248699886193957
390,-0.0024813475345391305,-0.0024763397657497138,-0.002486269772875445
400,-0.0024172434879504517,-0.0024122346907399623,-0.0024221667114071865
410,-0.002356266125934913,-0.00235125630142227,-0.0023611903270387524
420,-0.002298192110596205,-0.0022931812579387307,-0.0023031172841857443
432,-0.0022320518219873203,-0.002227039732005448,-0.0022369781586171413
445,-0.002164424704302469,-0.0021594112666299993,-0.002169352299430656
458,-0.0021006361360036575,-0.0020956213402444253,-0.002105564991454957
475,-0.002022487875833933,-0.00201747128422924,-0.0020274183870712553
488,-0.0019664006254702655,-0.001961382642586875,-0.0019713324120082345
500,-0.001917215951498875,-0.0019121966687035861,-0.0019221489243655666
515,-0.0018589577485305863,-0.0018539368176700673,-0.0018638922190002192
530,-0.001803996487345288,-0.0017989738805682348,-0.0018089324741707065
550,-0.0017353771211754709,-0.0017303522331182835,-0.001740315162890498
565,-0.0016870998674300272,-0.0016820732311405029,-0.001692039477671301
580,-0.0016413190304052168,-0.0016362906122548446,-0.0016462602345315193
600,-0.0015838375932931599,-0.0015788067447201693,-0.0015887809646323128
615,-0.0015431792013380025,-0.0015381464874524226,-0.0015481242313291938
630,-0.0015044562453802805,-0.0014994216285698955,-0.0015094029638290174
645,-0.001467533679982129,-0.0014624971216663561,-0.0014724821177525
660,-0.0014322887363574354,-0.0014272501970654945,-0.0014372389252763032
675,-0.0013986095583119404,-0.0013935689977496875,-0.0014035615310865242
688,-0.0013706082982591066,-0.0013655659527422538,-0.0013755618441256732
700,-0.001345683647173033,-0.001340639626225788,-0.0013506386678933421
715,-0.0013157037369081854,-0.0013106575836235197,-0.0013206606324974608
732,-0.001283211032099933,-0.0012781624102918745,-0.0012881700953657682
750,-0.0012504115688238228,-0.001245360272252728,-0.0012553729778329804
765,-0.0012242570037477192,-0.0012192034295365585,-0.00122922040797451
780,-0.0011991077048897055,-0.0011940518081924587,-0.001204073141673781
800,-0.0011670412963105399,-0.001161982232268888,-0.0011720095021508909
820,-0.0011365379003154762,-0.0011314755869949195,-0.001141508943689989
840,-0.0011074858420360132,-0.0011024201962947125,-0.0011124597925397614
860,-0.0010797838346273535,-0.0010747147721444996,-0.001084760762926782
880,-0.0010533397988121177,-0.0010482672341082765,-0.0010583197766084827
900,-0.0010280698398167833,-0.0010229936862673576,-0.0010330529398174854
920,-0.0010038973577499565,-0.000998817527592715,-0.0010088836536466476
940,-0.0009807522715483247,-0.0009756686758857839,-0.0009857418380008537
960,-0.0009585703399284573,-0.0009534828887257761,-0.000963563252553872
980,-0.0009372925654865788,-0.0009322011675655206,-0.000942288900852532
1000,-0.0009168646703056852,-0.0009117692333351142,-0.000921864505927692
1020,-0.0008972366332553387,-0.0008921370637386444,-0.0009022400475974187
1040,-0.0008783622806794174,-0.0008732584839392075,-0.0008833693531577264
1060,-0.000860198923420627,-0.0008550908035809759,-0.0008652097344097414
1080,-0.0008427070341752042,-0.0008375944941417045,-0.0008477216650167664
1100,-0.000825849960044907,-0.0008207329014827396,-0.0008308684930583875
1120,-0.0008095936658866665,-0.000804471989196875,-0.000814616184382025
1150,-0.000786267061130054,-0.0007811382676727086,-0.0007912957162568636
1180,-0.0007641237192766507,-0.0007589875775796964,-0.0007691587042071163
1200,-0.0007499749909633799,-0.0007448338195728557,-0.0007550143048304476
