Frequency,Nominal,Min,Max
245,352.69847119054083,352.2583109743246,353.131112710955
250,352.5497850591081,352.1005799056144,352.9913250504267
255,352.40108396663095,351.9428269988201,352.85152225575285
260,352.252368265258,351.7850554690958,352.7117047580134
270,351.9548942645867,351.46946845559404,352.43202717529306
275,351.80613649953824,351.3116533587207,352.2921677611257
280,351.65736519980146,351.1538240843051,352.1522949919473
285,351.50858056468564,350.99598076600813,352.0124091268693
290,351.35978277051714,350.83812351722014,351.8725103991507
295,351.21097197257836,350.6802524327677,351.73260693172415
300,351.062148306853,350.522367590449,351.5926932635077
305,350.91331189159996,350.3644690524188,351.45276748673206
310,350.76446282877424,350.20655686643863,351.3128297593733
315,350.6156012053126,350.0486310670076,351.1728802222935
320,350.46672709429856,349.89069167638763,351.0329190005711
330,350.16894163892744,349.5747721549359,350.75296193173375
340,349.87110680811014,349.2587982687199,350.47295928106706
350,349.5732227841335,348.94276984002045,350.1929115910775
360,349.2752896085202,348.62668656645656,349.9128192441727
370,348.9773072007879,348.31054803747384,349.6326824841035
390,348.38119384929394,347.67810311125976,349.0722761117124
400,348.0830622648651,347.36179546655455,348.7920064426349
410,347.78488018799317,347.045430089927,348.5116922709198
420,347.4866471221462,346.72900620033613,348.2313333688846
432,347.1286993554681,346.3492191214873,347.8948432281378
445,346.7408376292555,345.9376849141259,347.53023836879106
458,346.352886104283,345.5260465795008,347.1655557910933
475,345.84542676760253,344.9875896032,346.68854418918465
488,345.45726188261625,344.5757026496622,346.3236781416066
500,345.0988712697975,344.19540036664546,345.9868063858019
515,344.6507665775707,343.71988599603054,345.56561740264067
530,344.2025297854809,343.24421641241923,345.1443160717708
550,343.60466999274325,342.6097421574201,344.5824022523186
565,343.15611303526754,342.1336952139783,344.16082975834263
580,342.7074135486093,341.6574798388116,343.7391369701812
600,342.10892015132254,341.0222568595566,343.17668836057953
615,341.65987517623375,340.54563232196637,342.7547048162835
630,341.21067645224764,340.0688253596523,342.33259219642116
645,340.76132049185037,339.5918316509279,341.9103477421305
660,340.3118037585266,339.1146468227614,341.48796864564963
675,339.8621226698015,338.6372664531741,341.0654520540254
688,339.4722633128155,338.2233751752014,340.69915755304675
700,339.1122790876043,337.84118580889856,340.3609443091222
715,338.6621418801669,337.36326202469405,339.93804680484646
732,338.15177117897434,336.82135836011474,339.4585835307872
750,337.6111235824321,336.24727350823656,338.9507040149047
765,337.16037883212186,335.7686244943682,338.52730035618004
780,336.70944353302923,335.2897477404424,338.10373818199764
800,336.1078933374355,334.6508828934397,337.5387366194566
820,335.50598817312857,334.01159328090023,336.9734401772848
840,334.9037186316904,333.3718673595211,336.4078412640239
860,334.30107520062865,332.7316934559371,335.8419322021317
880,333.69804826367897,332.091059765502,335.27570522956734
900,333.0946281006378,331.4499543506239,334.70915250086523
920,332.4908048867856,330.8083651387072,334.1422660877697
940,331.8865686919531,330.1662799197493,333.57503797948885
960,331.2819094792748,329.5236863436282,333.00746008261814
980,330.67681710366503,328.8805719171157,332.43952422077325
1000,330.0712813100467,328.23692400064107,331.8712221339691
1020,329.4652917313604,327.59272980483024,331.3025454777721
1040,328.8588378863738,326.9479763868393,330.73348582225276
1060,328.2519091773113,326.3026506465004,330.1640346507573
1080,327.64449488731935,325.6567393222947,329.59418335851876
1100,327.0365841777832,325.0102289871649,329.0239232511215
1120,326.4281660855039,324.36310604418,328.4532455428325
1150,325.5145633078423,323.39124281650135,327.5964265303415
1180,324.5997559487212,322.4179229558551,326.738617547183
1200,323.9891960961801,321.7682100554737,326.16617968675337
1220,323.3780720689825,321.11781385360575,325.59327886066944
1250,322.4603023994542,320.14090611743825,324.73303902464136
1280,321.54119643393034,319.162377272811,323.8717043084176
1300,320.9276964508618,318.50909865983635,323.2968568004134
1320,320.31357189986164,317.8550610854167,322.7214983691986
1350,319.39118650878964,316.87254707833364,321.857480989088
1380,318.46732449859013,315.8882355852399,320.9922576495775
1400,317.85057448825995,315.23100198294253,320.41475503496065
1420,317.23313545531795,314.57292813480757,319.8366906383668
1450,316.3056555780318,313.58420466012086,318.96851758882485
1480,315.3765490693755,312.59349389314923,318.0990205948113
1500,314.7562178460795,311.9318865249769,317.5186022338003
1550,313.2020418361693,310.273768567997,316.06483720164306
1600,311.642900158372,308.60956080112516,314.60704508135035
1650,310.07855707654596,306.9389617085501,313.14504252187703
1700,308.50876809609724,305.2616577081779,311.6786399308566
1750,306.93327955566207,303.57732263049155,310.2076411713435
1800,305.3518282267515,301.8856172223191,308.73184325875684
1850,303.7641409258574,300.1861886839508,307.25103606041336
1900,302.16993414402884,298.4786702490619,305.76500200027124
1950,300.5689136995028,296.76268081803255,304.27351577178877
2000,298.96077441960523,295.0378246564809,302.77634406210007
2050,297.3451998588331,293.3036911721833,301.27324529106016
2100,295.7218620607885,291.55985478501003,299.7639693690817
2150,294.0904213724629,289.80587490608656,298.2482574781025
2200,292.45052632025875,288.0412960440719,296.7258418804707
2250,290.8018135581021,286.2656480582365,295.1964457610197
2300,289.1439078990214,284.47844657990044,293.65978310813523
2350,287.47642244266075,282.6791936257384,292.1155586401762
2400,285.79895881234046,280.8673784284469,290.5634677842191
2450,284.11110751647465,279.0424785122608,289.0031967147339
2500,282.4124484503831,277.2039610427421,287.43442246047744
2550,280.70255155578474,275.35128448208957,285.856813088599
2600,278.98097765649544,273.48390058283667,284.27002797568576
2700,275.5010029561867,269.7027988355569,281.06752689980243
2750,273.74168860378694,267.78797431415126,279.45109010882226
2800,271.96887337938216,265.8562360189968,277.8240372498727
2850,270.182092660016,263.9070463273299,276.1859921318084
2900,268.3808825941805,261.9398819126651,274.53657396485744
2950,266.56478277397156,259.9542390617414,272.8753985752929
3000,264.7333392609448,257.9496395811624,271.2020798107
3050,262.88610798669833,255.92563730679248,269.51623115108293
3100,261.02265854695514,253.88182521886853,267.8174675410531
3150,259.1425784046991,251.81784315314448,266.10540745805673
3200,257.2454775135897,249.7333860830036,264.37967523096444
3300,253.39879647317315,245.50215583279262,260.88573668577396
3400,249.48014726435397,241.18714262248648,257.3328686470571
3500,245.48778756365107,236.7888399083719,253.7185760999391
3600,241.42091771738865,232.30954329266294,250.04077625045005
3700,237.27991310489253,227.75364942291202,246.29794060660774
3900,228.78428504808153,218.44157805933386,238.6147792793294
4000,224.43834051644302,213.7064919695386,234.67564194693387
4100,220.0359514441627,208.93692993873452,230.6741900808072
4200,215.58637084107102,204.14935240500685,226.6141522704458
4320,210.20053854373378,198.40617934304618,221.67224686926556
4450,204.3341502359824,192.2235895384503,216.24594076545645
4580,198.46700570304225,186.123861774004,210.76334470885726
4750,190.85282736615238,178.34051952562615,203.54880590721913
4880,185.1207296489949,172.58215857851235,198.03239527009782
5000,179.93200277653426,167.44364715678236,192.9691182995807
5150,173.62169423984525,161.2853901993009,186.71599518939271
5300,167.54233810411822,155.44067435837525,180.58880262828433
5500,159.84382102507388,148.1501061211596,172.68342840317442
