Frequency,Nominal,Min,Max
245,6.1557495890253024,6.148067344016039,6.163300608037363
250,6.153154526479748,6.145314417534356,6.160860853107485
255,6.150559202814709,6.142561109906205,6.158420834036936
260,6.147963624176338,6.139807477246608,6.1559805583494835
270,6.142771723425544,6.134299444784466,6.151099263686994
275,6.140175410637541,6.131545051734673,6.148658256419864
280,6.137578861624663,6.128790411240086,6.146217016063819
285,6.134982079865513,6.12603552563353,6.143775547141207
290,6.132385068437568,6.123280396894041,6.141333853723166
295,6.129787830051016,6.120525026676651,6.138892077581616
300,6.127190367079221,6.117769416339198,6.136450123402697
305,6.12459268158619,6.115013566966486,6.13400795788955
310,6.121994775351373,6.11225747939211,6.131565583799382
315,6.119396649892104,6.109501154218194,6.129123003590697
320,6.116798306483929,6.106744591833282,6.126680219446528
330,6.111600969823153,6.101230756012624,6.121794046831084
340,6.106402771398271,6.0957159713478335,6.1169070786626385
350,6.101203714390788,6.090200234737123,6.112019324409717
360,6.096003799525414,6.084683540902952,6.10713079074659
370,6.090803025397465,6.079165882679792,6.102241481927512
390,6.080398884698797,6.068127636379824,6.092460545580131
400,6.075195506946326,6.06260702653049,6.087568917061253
410,6.069991247934476,6.0570854090690265,6.0826765118248245
420,6.06478609899713,6.051562770363699,6.077783325897033
432,6.058538731918436,6.044934235381255,6.071910465040503
445,6.051769267753558,6.037751608478214,6.065546909776131
458,6.044998236304655,6.03056716421158,6.059181998070645
475,6.036141400059594,6.021169317094798,6.050856575047127
488,6.029366644775958,6.013980533609555,6.044488461188152
500,6.023111548574031,6.007343006618061,6.038608939892386
515,6.015290646301038,5.999043715210282,6.0312578053630945
530,6.007467438450494,5.990741714824674,6.023904709996382
550,5.99703281660193,5.9796680500558015,6.014097463734484
565,5.9892040208112505,5.971359463498686,6.006739635678759
580,5.981372737417056,5.963047937253407,5.999379708093428
600,5.970927057082956,5.95196120478108,5.989563127982614
615,5.96308974377812,5.943642537304335,5.982198125745413
630,5.955249747048805,5.9353206859155225,5.974830870714596
645,5.9474070060264115,5.926995575186982,5.967461314738937
660,5.939561458987103,5.918667128794914,5.960089408813747
675,5.931713043404898,5.910335269561228,5.9527151031456
688,5.924908714005784,5.9031115040153175,5.946322058071573
700,5.918625804020607,5.896441041207222,5.940419123391239
715,5.910769427665093,5.888099697599262,5.933038169543161
732,5.901861778523569,5.878641694423731,5.924669956768435
750,5.892425697870914,5.868622023572632,5.91580578701285
765,5.88455871789192,5.860268022319206,5.908415999103114
780,5.876688412209289,5.851910046251938,5.901023444576726
800,5.8661893806801615,5.840759751196491,5.891162307031472
820,5.855684153778249,5.829602042583878,5.881296022865763
840,5.845172567295677,5.818436718945458,5.871424459583659
860,5.834654455208133,5.807263576542573,5.861547483186769
880,5.8241296496801445,5.796082409345278,5.851664958201921
900,5.813597981062156,5.784893009003291,5.841776747699911
920,5.803059277880461,5.773695164810069,5.831882713306573
940,5.792513366820911,5.762488663660864,5.821982715207214
960,5.781960072707159,5.751273290005386,5.812076612145274
980,5.771399218474054,5.740048825795668,5.80216426141593
1000,5.7608306251367365,5.728815050429585,5.792245518855243
1020,5.750254111755888,5.717571740690449,5.782320238825374
1040,5.739669495399493,5.706318670683019,5.772388274196296
1060,5.729076591101473,5.695055611766236,5.762449476324361
1080,5.71847521181745,5.68378233248293,5.752503695028055
1100,5.707865168377909,5.672498598486743,5.742550778561196
1120,5.697246269438933,5.66120417246646,5.732590573583817
1150,5.681300892913373,5.644241959264408,5.717636260722163
1180,5.665334492475235,5.627254323021079,5.7026646696128624
1200,5.654678212767902,5.615914693716742,5.692673744185293
1220,5.644012086355255,5.604563138551681,5.682674738482733
1250,5.6279939838470465,5.587512882067354,5.667660720987227
1280,5.611952558573934,5.570434331902872,5.652627594227392
1300,5.601244963908458,5.559032469173602,5.642594612515834
1320,5.590526468476174,5.547617360068223,5.632552713512027
1350,5.574427806429672,5.5304692556976605,5.617472765434641
1380,5.558303372517598,5.513289779277953,5.602371769395082
1400,5.547539054175626,5.501818888963121,5.5922924473311415
1420,5.536762710120459,5.490333333591897,5.582203320322025
1450,5.520575132515822,5.473076853566855,5.567050842130438
1480,5.504359164838061,5.455785688748241,5.551875256748708
1500,5.4935323425386215,5.4442384618181805,5.541745045310037
1550,5.466406854010181,5.4152988440824394,5.516372058948532
1600,5.439194698227549,5.386252939113263,5.490928786639795
1650,5.4118917608188895,5.357095484466999,5.465412028304401
1700,5.384493774548535,5.327821007103632,5.439818474931319
1750,5.3569963121905015,5.29842381429117,5.4141447032850625
1800,5.329394779540971,5.2688979849447675,5.388387170616367
1850,5.301684408648268,5.239237361547884,5.36254220941804
1900,5.273860251347736,5.209435542820573,5.336606022271781
1950,5.245917173199014,5.179485877319687,5.310574676836609
2000,5.217849847934151,5.1493814581773,5.284444101034829
2050,5.189652752537215,5.119115119207224,5.258210078497502
2100,5.161320163089263,5.088679432634969,5.231868244337904
2150,5.132846151526978,5.058066708734023,5.205414081328689
2200,5.104224583478851,5.027268997680772,5.178842916566296
2250,5.075449117359568,4.996278093971538,5.1521499187146516
2300,5.046513204921164,4.9650855437780645,5.125330095929387
2350,5.01741009347855,4.933682655651702,5.098378294573644
2400,4.988132830047004,4.9020605150212955,5.071289198847095
2450,4.958674267650093,4.8702100029644795,5.044057331460966
2500,4.929027074077943,4.838121819765943,5.016677055503672
2550,4.899183743397575,4.805786513808032,4.989142577654073
2600,4.86913661053858,4.773194516367339,4.961447952912108
2700,4.808399594132089,4.707201841524396,4.905553764839283
2750,4.777693766105122,4.673781849027943,4.877341620686307
2800,4.746752303409776,4.640066655490636,4.84894419119365
2850,4.7155670968456835,4.606046877625116,4.820354910587209
2900,4.6841300506767904,4.571713381661148,4.791567132831705
2950,4.6524331292692676,4.537057376143843,4.762574152830704
3000,4.620468409902658,4.502070515023971,4.733369230953155
3050,4.588228142121247,4.466745011268362,4.703945621152504
3100,4.555704813953285,4.431073761042029,4.674296602944418
3150,4.522891225269554,4.39505047829303,4.644415517504164
3200,4.489780568477176,4.358669839302598,4.61429580813363
3300,4.422643319047866,4.2848209400264325,4.553315076657715
3400,4.354249988123301,4.20950975223954,4.491305831493233
3500,4.2845701664221,4.132744888378838,4.428224526415731
3600,4.213589897354745,4.054566414261277,4.364034809812795
3700,4.141315732526416,3.975051065862698,4.298710004466745
3900,3.993039050910256,3.812524760387581,4.16461354234384
4000,3.917188009724121,3.72988191775527,4.095862626205312
4100,3.840351825459011,3.6466373564396317,4.02602411628133
4200,3.762691993602186,3.563078365281574,3.9551630887350626
4320,3.668691487053401,3.462841085838516,3.8689105681623763
4450,3.5663036958826413,3.3549345374480852,3.774203660429842
4580,3.4639027060924503,3.248474204483184,3.6785143076853286
4750,3.331010224279696,3.112629255439412,3.5525968515838575
4880,3.230966246069248,3.012126897394017,3.4563173230740523
5000,3.1404058781581017,2.9224429544334942,3.367946468998125
5150,3.0302702173761733,2.8149610943415944,3.2588088821927963
5300,2.924165436406417,2.7129515590739723,3.151869198097751
5500,2.7898009658560765,2.5857071389932402,3.013894389267288
5650,2.694735564758324,2.4968076745604897,2.9145983869229113
5800,2.6046909722388607,2.4133245825086833,2.819344568216054
6000,2.4923785895849244,2.3099931005212144,2.6990507853672607
6150,2.413773489111656,2.238083085898382,2.614002668810178
6300,2.339760433283101,2.170601542657376,2.5333791614991847
6450,2.2700877503697576,2.107221701904433,2.457083828512318
6600,2.2044850587918683,2.047627124406839,2.3849620123620925
6750,2.14267693367615,1.9915180807912718,2.3168201572663882
6880,2.091969609464377,1.9454930110260718,2.2608161501234454
7000,2.0473646278700914,1.9049990862775235,2.2115013239022807
7150,1.994381713818777,1.8568767441389138,2.1528888528306727
7320,1.937783605522952,1.8054288796803868,2.0902657199145906
7500,1.8815150281931328,1.7542232545028211,2.0280264869061027
7650,1.837258300415502,1.713900371545554,1.97910553173436
7800,1.7952046176938619,1.6755402087612556,1.932657732382487
8000,1.742280353580924,1.6271969234959465,1.8742699399577902
8200,1.6926373592235433,1.5817779923384792,1.8195817729730563
8400,1.6459691007509774,1.539013094160799,1.7682500677639432
8600,1.6020048509076312,1.498664285733371,1.719968858014047
8800,1.5605052411713478,1.4605215588251272,1.6744658477888263
9000,1.5212582522614557,1.4243990103909316,1.6314988193538955
9200,1.484075669581419,1.390131562832587,1.5908521980644417
9400,1.4487899880396298,1.3575721653210144,1.552333886683959
9600,1.415251729985954,1.3265894092095918,1.5157724147177518
9800,1.3833271317426652,1.2970654963985053,1.4810144094492648
10000,1.3528961528977965,1.2688945067560229,1.4479223740196467
10200,1.323850764859482,1.2419809181000019,1.4163727473147425
10400,1.2960934791989722,1.2162383391644718,1.3862542162671159
10600,1.2695360809310263,1.191588422153232,1.3574662507033914
10800,1.2440985364903394,1.167959926841508,1.329917832375635
11000,1.2197080504566904,1.145287912754194,1.3035263522855272
11200,1.1962982489270517,1.1235130397979185,1.2782166532388328
11500,1.1628910425746624,1.0924152195536907,1.242132147265817
11800,1.1313712829486464,1.0630496556551585,1.2081217036918477
